Title,Article_body,section_value
"Salaar box office collection Day 13: Prabhas’ blockbuster is the third-biggest Telugu grosser after Baahubali 2 and RRR, crosses Rs 650 crore worldwide","The Prabhas-starrer Salaar has been playing in theatres for approximately two weeks now, and while the film opened to a whopping Rs 90 crore nett in India, its box office collections started to dip soon after. Salaar made the most of the holiday season, but was also competing against the Shah Rukh Khan-starrer Dunki. On its second Wednesday, the film managed to bring in Rs 5.25 crore in India, taking its nett domestic box office total to Rs 373.57 crore. Also starring Prithviraj Sukumaran, Tinnu Anand, Jagapathi Babu and Sriya Reddy in significant roles, Salaar is still experiencing 17.97% occupancy in the Telugu market. In Hyderabad, the film still has 425 shows with an occupancy of 18.5%. In Delhi-NCR region, Salaar has 614 shows with an occupancy of 16.5%. Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. As per trade analyst Manobala Vijayabalan, Salaar has crossed the Rs 650 crore mark worldwide, making it the third Telugu film after Baahubali 2 and RRR to cross that benchmark. RRR made Rs 1230 crore and Baahubali 2, which also starred Prabhas, collected Rs 1788 crore worldwide. ALSO READ | How would Dil Chahta Hai’s Sid, Sameer and Akash be had Instagram existed? Farhan Akhtar answers Salaar marks a big comeback for Prabhas. The actor has starred in many big-budget projects since the Baahubali films, but they fell way short of the high benchmark that he’d set for himself. Saaho, Radhe Shyam and Adipurush flopped at the box office, and while Prabhas has many other films in the pipeline, the Prashanth Neel film was being seen as a test of Prabhas’ stardom. After Salaar Part 1, he will be seen in the sequel of the film which is scheduled to release in 2025. He is also set to star in Nag Ashwin’s Kalki 2898 AD, Sandeep Reddy Vanga’s Spirit, and director Maruthi’s next. In a chat with India Today, Prabhas shared that the story of Salaar Part 2 is ready. “The story is already ready, and we are going to start very soon, aiming to deliver the film as soon as possible for the audiences. I am aware that many of my fans are eagerly waiting for its release. We will soon unveil the details of Salaar Part 2,” he said.",Entertainment
Khushi Kapoor says father Boney Kapoor cried after watching The Archies; Janhvi Kapoor lists what her sister has in common with Sridevi: ‘My biases aside…’,"Sisters Janhvi Kapoor and Khushi Kapoor appeared as guests on the latest episode of Koffee with Karan, and they spoke candidly about their journey in the film business. Khushi also spoke about her family’s reaction to her debut movie. Khushi Kapoor, younger daughter of Boney Kapoor and Sridevi, made her debut with Zoya Akhtar’s The Archies. The film released last month on Netflix, and earned mixed reviews. During the episode, Karan asked Khushi about how she auditioned for the film. “I had just come back from New York, and I had no intention of starting out at that point. so when I went and auditioned, I was fully shaking. It was the first office I went to, first audition I had ever given, so I was scared. She (Zoya) made it really easy for me though, she calmed me down. I was freaking out, but I think it went well,” Khushi said. Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. Once she landed the coveted part of Betty Cooper in the film, Khushi said she “immediately started howling” and crying. “I knew I wanted to do this for the longest time. In that moment I felt, ‘Okay, now it is happening for me.’ It was with Zoya and was the most ideal situation for me and I got really emotional.” The debutante revealed that Boney Kapoor got so emotional after watching The Archies that he started to cry. Janhvi added, “He cried for three days!” To which Khushi said, “I would get random messages from him saying, ‘You are just so good beta.’ It was really cute and sweet!”     A post shared by Netflix India (@netflix_in) Janhvi, who made her debut in 2018 with Karan Johar-backed Dhadak, said it was an “obviously” emotional moment for her to see Khushi act on screen and then listed what her younger sister has in common with mother Sridevi. “My biases aside, she is phenomenal, she is unreal. I have seen her for nine months, slog her a** off every day in every aspect of the film. She is a very quiet person and that is something she has in common with Mumma. But in front of the camera, she explodes. I didn’t know that all of this was cooking inside. I live with her, but I didn’t know that’s what it could convert to on screen. I really do think she is magical.” Apart from Khushi, The Archies also marked the acting debut of Shah Rukh Khan’s daughter, Suhana, and megastar Amitabh Bachchan’s grandson, Agastya Nanda. Ever since it was first announced, the film was attacked by a section that felt casting star kids in it was encouraging nepotism in the industry. It led to the three debutants being trolled, even before they were seen on screen. “I do read certain things sometimes, I try not to but you can’t help, you want to see what people are saying about you,” Khushi said when asked about trolling. “The first hate comment I read about myself was when I was 11 or 12 years old. Once you keep seeing it, you understand that it is not coming from anything concrete. It is just people taking out their own insecurities on you.” Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
"Janhvi Kapoor recalls ‘howling’ when she got the call about Sridevi’s death, reveals sister Khushi hasn’t cried since that day: ‘She started comforting me’","When veteran actor Sridevi passed away in February 2018, it was a shock to her family and fans, as she appeared healthy and was only 54 at the time. Janhvi and Khushi, her two daughters, recently appeared on the latest episode of Koffee with Karan and opened up about the day Sridevi passed away. Janhvi recalled that she got the call when she was in her room, and as soon as she hung up, she could hear her sister crying in the room next door. “When I got the call, I was in my room, and I could hear wailing from Khushi’s room, and I think I barged into her room howling and crying. But what I do remember is, she looked at me and the minute she looked at me, she stopped crying. She just stopped crying. She sat next to me and started comforting me. And I have never seen her cry about it since,” Janhvi shared emotionally. Khushi said that even though she is the youngest, she felt like she had to “hold it together” for her family. “I think I felt like I had to hold it together for everyone because I feel like I have always been the strong one,” she shared as Karan said that this was a “tough burden to take at your age.” The sisters also shared that when they “get emotional about things, they don’t show it to each other.” The Archies actor was 18 when Sridevi passed away, and she said that it took her a while to accept her new reality. “It took me a while when it happened to kind of accept it. I think it did suddenly hit me after a while but I was a little confused I don’t know. But I had Janhvi, I had Dad so they were just kind of there to help me,” she said. ALSO READ | How would Dil Chahta Hai’s Sid, Sameer and Akash be had Instagram existed? Farhan Akhtar answers Karan mentioned reading an old interview of Sridevi, where the late actor had shared that Khushi was “more emotionally equipped” to be in the film industry than Janhvi, implying that even though Khushi was younger, she was more emotionally mature. “The dynamics have changed so much since she has passed. She is equally my baby and my mom at times. And I am equally her baby and her mom at times,” Janhvi said as she spoke about her current equation with Khushi. Sridevi passed away in UAE in 2018 days after attending a family wedding. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
,,Entertainment
"Deepika Padukone says she’s looking forward to having children with Ranveer Singh, reveals the values she wants to inculcate in them","Deepika Padukone has always said that she and her husband, actor Ranveer Singh, love children. The couple started dating in 2012 and got secretly engaged in 2015. They have been married for over five years now, and in a recent interview, Deepika once again shared that she is looking forward to having a child with Ranveer one day. Deepika opened up about having children in a new interview, and spoke about the values she wants her children to imbibe from her. Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. “Ranveer and I love children. We look forward to the day when we will start our own family,” shared Deepika in a chat with Vogue Singapore. Speaking about her family, she added, “When I meet the people I have grown up with—my aunts, uncles, family friends—they always mention how I haven’t changed one bit. That says a lot about our upbringing.” “In this industry, it’s easy to get carried away by fame and money. But no one treats me like a celebrity at home. I am a daughter and a sister first. I don’t want that to change. My family keeps me grounded and Ranveer and I hope to inculcate the same values in our children,” she added. It was back in 2019 when Deepika Padukone made it clear that while she and Ranveer want children, they weren’t thinking about itactively. She had also expressed her annoyance with the societal expectations from couples. “I think it’s sad that society kind of puts itself and people in this rut that okay you are dating for so long toh shaadi kab hogi, shaadi ke baad bacche and then grandchildren. It’s almost like it’s the said expectation. I’m not surprised (by the rumours), we’re not surprised by it at all,” Deepika shared while speaking with HT Cafe. She added, “Do we intent on having children? Of course we do, we both love kids. But do we intent on having children anytime soon? Absolutely not! We’re too selfishly at this point focused on our careers and I don’t think it would be fair to have kids at this point. We’re not even thinking about kids.” On the work front, Deepika awaited the release of her Siddharth Anand film, Fighter. Deepika will be sharing the screen with Hrithik Roshan. The film is set to release on January 25. Deepika was a part of two big blockbusters of 2023, Pathaan and Jawan. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
"Janhvi Kapoor says boyfriend Shikhar Pahariya used to sing ‘Nadaan Parindey Ghar Aaja’ for her, reveals sister Khushi has hated most of her exes","Janhvi Kapoor and her sister Khushi Kapoor appeared on the latest episode of Koffee with Karan. From spilling the beans about their romantic relationships to recalling fond memories of their mother Sridevi, the sisters opened up about their lives on the chat show. Janhvi neither confirmed or denied her rumoured relationship with Shikhar Pahariya, whom she used to date several years ago as well. After breaking up, they were said to have gotten back together recently. Karan asked Janhvi, “You have had an interesting path of love, you were dating Shikhar, and then you dated someone else and now you are dating Shikhar again. True or False?” Janhvi had an interesting answer to Karan’s question. She said, “Have you heard that song, ‘Nadaan Parindey Ghar Aaja’? Shikhar used to sing that to me a lot.” The Bawaal actor continued, “I won’t say that, but I will say this, he is, not just for me, but for her (Khushi), for dad and everyone in our family, he has been there from the start as a friend. Not in a way that made me feel like he is expecting anything or he is a pushover or any of those things. He was just there in a very selfless dignified way, and in a way that I have not seen many men capable of being there for another human being.”     A post shared by Janhvi Kapoor (@janhvikapoor) Karan also questioned Janhvi about about decision to not date actors. For the unversed, Janhvi reportedly dated actor Kartik Aaryan before their falling-out led to the cancellation of the film they were doing together at the time. The duo was spotted together in Goa in 2021. Janhvi revealed on the show that Khushi has hated all her boyfriends except one, and also added that she has only dated three boys. When asked why she would ‘never’ date an actor, Janhvi said, “I want someone to be obsessed with me. The thing is, you need someone to be okay with your… there needs to be a balance. You need someone who is okay to let you have your moment also but I find with actors that they get very competitive and they get very weird. I’ve said never (date actors).” The actor continued, “There is always tension when there is an actor. I can’t deal with that tension because I like to be undyingly devoted and I expect that devotion and I think when you are in the same profession, it’s difficult, specifically this profession.” Khushi, who recently made her debut with Zoya Akhtar’s The Archies, is rumoured to be dating her co-star Vedang Raina. However, Khushi denied and said that they are just ‘good friends’. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
"Aamir Khan plants a sweet kiss on ex-wife Kiran Rao’s cheek at Ira Khan-Nupur Shikhare’s wedding, watch inside videos","Aamir Khan’s daughter Ira Khan got married to fitness trainer Nupur Shikhare at a five-star hotel in Mumbai yesterday. In contrast to other Bollywood weddings, this was quite an unusual one, where the baraat arrived with the groom sporting athleisure wear. He jogged his way to the venue, and later danced to some music on the dhol. The registration ceremony took place with Nupur wearing a vest and shorts. Ira also made for a simple and elegant bride, who ditched the stilettos and rather opted for Jodhpuri chappals. Aamir maintains a healthy relationship with both his ex-wives, Ira’s mother Reena Dutta, and filmmaker Kiran Rao, with whom he has son Azad Rao Khan. At the wedding, Aamir kissed Kiran on the cheek, and a video of the sweet moment was widely shared on social media. Watch these videos from the wedding right here:     A post shared by Varinder Chawla (@varindertchawla)     A post shared by Varinder Chawla (@varindertchawla)    Also Read: Groom Nupur Shikhare jogs to wedding venue to marry Ira Khan. Watch     A post shared by Spice (@spicesocial)     A post shared by Varinder Chawla (@varindertchawla)  Along with Aamir, Reena and Kiran, his sons Junaid Khan and Azad Rao Khan, at the wedding. It surely made for one happy moment with lots of amazing memories. While the wedding was a sweet affair, it was also reported that the couple did not accept any gifts from the guests.     A post shared by Varinder Chawla (@varindertchawla)     A post shared by Varinder Chawla (@varindertchawla)     A post shared by Varinder Chawla (@varindertchawla) //www.instagram.com/embed.js Some highlights of the night were Aamir Khan kissing Kiran Rao on the cheek to all of them posing as one happy family.     A post shared by Varinder Chawla (@varindertchawla)       A post shared by Varinder Chawla (@varindertchawla)  If reports are to be believed, Ira and Nupur might have a grand three-day celebration in Udaipur. Ahead of this ceremony last night, the newly married couple also had a sweet and traditional haldi ceremony a day prior where all were seen decked up in a Maharashtrian avatar. Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. For those who don’t know, Ira met Nupur during the lockdown and the couple got engaged last year in November. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
"Dunki box office collection day 14: Rajkumar Hirani’s film is now fourth-biggest hit of SRK’s career, passes Rs 409 crore worldwide","Shah Rukh Khan’s latest film, Dunki, hit the Rs 200 crore mark in India yesterday. On its second Wednesday, the film minted around Rs 3.30 crore, according to industry tracker Sacnilk.  Following a strong performance with Rs 11.50 crores on Sunday and Rs 9 crore on Monday, the movie experienced a major drop of over 50 percent on Wednesday, earning Rs 3.85 crores. The total domestic collection of the film now stands at Rs 203.92 crore. Dunki had an overall 11.83% Hindi occupancy on Wednesday. The movie has received mixed reviews from the audience and critics.  Shah Rukh’s latest movie has crossed Rs 409 crore worldwide. It has now outperformed Shah Rukh Khan’s Dilwale, which made Rs 394 crores globally. Dunki is now the fourth highest-grossing film of SRK’s career, trailing behind Jawan, Pathaan, and Chennai Express, which earned Rs 1156 crores, Rs 1050 crores, and Rs 424 crores, respectively. Dunki marks the first collaboration between SRK and director Rajkumar Hirani. Dunki also stars Boman Irani, Taapsee Pannu, Vicky Kaushal, Vikram Kochhar, and Anil Grover in pivotal roles. The film clashed with Prabhas starrer Salaar at the box-office. Helmed by Prashanth Neel, Salaar has minted more than Rs 650 crores globally.  Just another day of us celebrating your endless love for Dunki! 🎉🎊 Book your tickets right away!https://t.co/DIjTgPqLDI Watch #Dunki – In Cinemas Now! pic.twitter.com/gkpWG6Vp89 — Red Chillies Entertainment (@RedChilliesEnt) January 3, 2024 Hirani’s recent movie marks his return to filmmaking after a five-year gap since his last project, Sanju, in 2018. Sanju, starring Ranbir Kapoor, was a box office success, earning Rs 342.57 crore in India and a worldwide total of Rs 588 crore worldwide. Dunki is not facing a major competition from the Prabhas-starrer Salaar. It will face new competition in the form of Merry Christmas, starring Katrina Kaif and Vijay Sethupathi, on January 12.  Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. YRF’s Fighter, a high-budget aerial drama with Hrithik Roshan and Deepika Padukone, will hit the theatres on January 25. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
Zarin Shihab on beautifully conveying significant emotions without explosions in Aattam: ‘The most challenging aspects I face…’,"Not many aspiring actors manage to land a launch like Zarin Shihab did back in 2019. Despite having only limited screen time in Raj & DK’s spy thriller series The Family Man, Zarin skillfully portrayed the character Sahaya Mary, a nurse pivotal to the show’s plot, leaving a lasting impression on viewers with her debut performance. Nevertheless, she has been selective in her acting choices, prioritising quality over quantity since then. As a result, Zarin is now gaining significant recognition, especially in her homeland of Kerala, through films and roles that inspire her to push her creative boundaries. The latest addition to her brief yet impressive filmography is Anand Ekarshi’s debut feature Aattam (The Play), which premiered at the 28th IFFK, receiving rave reviews. Now, as the film prepares for its theatrical release on January 5, Zarin, whose performance captivated viewers at IFFK, eagerly anticipates the broader audience’s opinions. At its core, the film revolves around a woman who experiences sexual assault in a space she had considered safe and Zarin plays the role of Anjali, the only female member of a drama troupe called Arangu, comprising 12 male actors along with the director. Mentioning that she was captivated by the project even before they started filming and at the time of auditioning itself, Zarin Shihab said she realised her desire to be a part of Aattam after understanding director Anand Ekarshi’s vision. “Actor Vinay Forrt (who plays a key role in Aattam) was also present during the auditions. There were five shortlisted actors and I was one of them. A top-tier actor like Vinay making himself available for auditions with shortlisted candidates does not happen often. Also, the project appeared highly intense right from the start, solidifying my certainty that I wanted to be involved in it from that very moment,” she told The Indian Express. One notable strength of Aattam, which ensures a seamless fusion of play and film, lies in the extensive theatre backgrounds of almost all the actors. Zarin herself has done theatre for seven years. However, aside from her and Shajohn, all others are seasoned theatre artistes with a minimum of 15-20 years of experience. Despite finding it initially challenging to meet these actors at the bar they were accustomed to performing, she noted that the 35-40 day workshop before filming proved significantly helpful. “Here, you are essentially performing a play within a film. The veterans in Aattam, drawing from their experience in classic Malayalam dramas, exhibit exceptional physical movements. The most experience I had in that aspect was through Kalaripayattu. So, the rehearsals helped a lot.” Though the movie includes outdoor scenes too, a notable part of it unravels inside a house, showcasing character interactions, discussions and verbal conflicts, making Aattam a chamber drama as well, alongside its various other elements. For Zarin Shihab, embodying the character Anjali posed a major challenge due to the film’s dialogue-heavy nature and extensive back-and-forth exchanges. “Another difficulty I encounter as an actor is that when someone delivers an exceptional performance in front of me, I tend to become absorbed in it. The sheer brilliance unfolding before me draws me away from my own character and headspace. In Aattam, it happened quite a few times and I sometimes found myself temporarily adrift and needed to refocus on the present moment,” she recalled. Zarin expressed gratitude to Aattam for instilling in her a more disciplined approach to her work and for encouraging her to view acting as a profession without romanticising it. “When you approach it as a job, your life becomes more disciplined. With discipline, you can achieve more enduring and fruitful results,” she explained. As the first member in her family to enter the film industry and that too without any prior connections, Zarin noted that this disciplined mindset also contributed to fostering better relationships with her colleagues.     A post shared by Joy Movie Productions (@joymovieproductions) When asked about the most touching response she received for Aattam at IFFK, Zarin shared a comment from a viewer expressing that there was a profound truth in her performance. For Zarin Shihab, the 28th IFFK was also an event that celebrated her acting choices and prowess. Besides Aattam, Shruthi Sharanyam’s B 32 Muthal 44 Vare, another film in which she played a significant role, was screened at the fest and garnered substantial praise. While her performances in both movies were consistently spectacular, she particularly excelled when her characters had to convey inner turmoil with limited expressive freedom. When discussing her approach to challenging acting moments, where conveying significant emotions is required with minimal means, Zarin emphasised that in both cases, the respective filmmakers consciously avoided making the conflicts explosive. “Emotional explosions are easy, right? This is harder to pull off for both the performer and the technical crew since it requires more clarity on how to enhance the moment through other aspects of filmmaking. I don’t think any other reaction, like a proper external one, would have worked better in that moment,” she said. “For me, the most challenging aspects on set involve the physical conditions of heat, hunger, lack of sleep etc. Earlier, I used to easily get distracted by these factors. But now, I use such discomforts to enhance my performance and turn them into assets,” Zarin added. At their core, both Aattam and B 32 Muthal 44 Vare address workplace harassment — a subject films intentionally avoided in the past. Nonetheless, these films underline that there’s a gradual shift in addressing such matters. When asked if cinema can inspire societal changes, Zarin elaborated, “I am still trying to ascertain whether that is actually possible. I still perceive movies as a form of escape, though not as grandiose as the escapism offered by movies like Rocky Aur Rani Kii Prem Kahaani. Although Aattam belongs to a very intense zone, it still engages people. Despite not being an easy or comfortable watch, it manages to entertain. However, it also encourages people to pose questions for which we may lack answers and sparks a dialogue among viewers. I believe the most impactful movies are those that linger with you even after leaving the theatres. Although cinema is a significant medium with broad reach, I don’t believe it’s reasonable to anticipate social change or impact from such a medium.”     A post shared by Joy Movie Productions (@joymovieproductions) Before landing such significant roles in Malayalam, Zarin Shihab also appeared in the series Jugaadistan and the Bollywood sports drama Rashmi Rocket, among other works, and lent her voice to the podcast Darr Ka Raaz with Dr Phobia, balancing between different mediums. Despite this, she emphasises that working in Malayalam has always been her dream, and the transition to this industry was intentional. “When I auditioned for Family Man in 2018, the OTT boom had just started in the country. I didn’t know what I was auditioning for. They didn’t inform me that it was a Prime series or that it featured Manoj Bajpayee. Nevertheless, it was received very well. Even in the midst of that success, I knew I wanted to work in Kerala and be a part of the Malayalam industry.” However, The Family Man was not her first-ever step toward fulfilling her dream of becoming an actor. Since her early 20s, Zarin has been diligently working for it, and even during college, she was actively involved in theatre and participated in short films. “I always believed that with hard work and persistence, something positive will unfold, even if you might not be able to quantify or identify it accurately at that moment.” When queried about the projects she is most enthusiastic about in her current lineup, Zarin mentioned having two works. The first is a movie titled Ithiri Neram, directed by Prasanth Vijay, where Zarin will share the screen with Roshan Mathew. Additionally, she is also playing a key role in a web series helmed by Krishand, known for films like Aavasavyuham and Purusha Pretham. “Ithiri Neram is a delightful slice-of-life movie depicting the reunion of two exes after a long period. It ventures away from the intense, serious zones I am typically associated with in acting (laughs). The shoot for Krishand’s web series will begin in January and I am quite excited about that too,” she signs off.",Entertainment
"How would Dil Chahta Hai’s Sid, Sameer and Akash be had Instagram existed? Farhan Akhtar answers","Imagine Dil Chahta Hai, but with Instagram aesthetics? Actor-filmmaker Farhan Akhtar says his 2001 directorial debut starring Aamir Khan, Saif Ali Khan and Akshaye Khanna would have been an “entirely” different film if social media existed during the time it was made. Dil Chahta Hai followed the lives of three college graduates, as they navigate personal challenges which test their friendship. It is often regarded as a landmark Hindi film and perhaps the start of many friendship-based stories, especially coming from Farhan Akhtar and Ritesh Sidhwani’s production house Excel Entertainment (Rock On, Zindagi Na Milegi Dobara). Indian Express Entertainment is now on WhatsApp Channels. Follow us for the latest news, interviews, reviews, photos and more. The duo has now co-produced the latest Netflix film, Kho Gaye Hum Kahan, which is billed as a coming of ‘digital’ age drama. It is co-produced by Zoya Akhtar and Reema Kagti, who have also written the film along with director Arjun Varain Singh. Kho Gaye Hum Kahan features a brief sequence, where the three friends–Ananya Panday, Siddhanth Chaturvedi and Adarsh Gourav–also go on a Goa trip, similar to that in Dil Chahta Hai. When asked what would the film be like if Instagram had made its way into the lives of Dil Chahta Hai characters, Farhan told Indianexpress.com, “They definitely would have posted the Goa meme where the three of them are sitting on their own! But it would have been a completely different film if there was all that what we have now.” Farhan was joined by Reema, Zoya, Ritesh, Arjun and Ruchikaa Kapoor Sheikh, director, Original Films, Netflix India at the roundtable. Adding to Farhan’s answer, Reema said, “The film then would have been Kho Gaye Hum Kahan!”, to which the actor added, “It could have very much been possible, yes.” Watch:     A post shared by Indian Express Entertainment (@ieentertainment) The new Netflix film aims to celebrate the power of friendship in the fast-paced era of social media, as it follows three best friends in their 20s navigating their life and striving to balance their online identities with their true selves. Putting one’s life and art out on social media can be quite daunting, especially for public personalities and Farhan Akhtar says he is aware of the perils. There was a time the actor-filmmaker says trolling did bother him, but it doesn’t rattle him anymore today. “I have somehow successfully managed to weed out the need to really consider what everybody is saying all the time. It is also, what is known as, your own negative bias. People say 10 good things, but that one bad thing starts circulating in your head. I felt it is not healthy to do that to yourself. “Whether it is a piece of work, a reel or an image that you have put out, you have put it out there because it has something you are happy sharing with people. That’s where your attachment with it should end. Then whatever people want to say and do with it, that’s their own thing. I don’t get into reading the comments, honestly it doesn’t bother me anymore, at all,” he added. Click for more updates and latest Bollywood news along with Entertainment updates. Also get latest news and top headlines from India and around the world at The Indian Express.",Entertainment
